lexicalMetricsAfinity,syntacticMetricsAfinity,structuralMetricsAfinity,matcher,fmeasure
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.3333333333333333
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_IFUICE,0.38095238095238093
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_LOWMEM,0.4
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_OPT,0.4
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.7272727272727272
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_COSINE_PPJOINPLUS,0.7272727272727272
MEDIUM,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_EQUAL,0.7272727272727272
LOW,MEDIUM,HIGH,COMA,0.6666666666666666
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_COMA,0.6666666666666667
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_IFUICE,0.6153846153846153
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_LOWMEM,0.7692307692307692
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_TRIGRAM_OPT,0.6153846153846153
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUSFULLYCACHED,0.8333333333333334
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_COSINE_PPJOINPLUS,0.8333333333333334
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_LEVENSHTEIN_LUCENE,0.36363636363636365
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_EDITDIST,0.36363636363636365
LOW,MEDIUM,HIGH,COMA-RES2_SELFPATH-SIM_STR_JACCARD,0.923076923076923
LOW,MEDIUM,HIGH,COMA-RES2_SELFNODE-SIM_STR_TRIGRAM_COMA,0.6666666666666666
