ontology1,ontology2,metric,value,matcher,experiment
source-segment-cmt-conference,target-segment-cmt-conference,fmeasure,0.5454545454545454,RECOMENDADO,exp3
source-segment-confOf-edas,target-segment-confOf-edas,fmeasure,0.7999999999999999,RECOMENDADO,exp3
source-segment-edas-sigkdd,target-segment-edas-sigkdd,fmeasure,0.75,RECOMENDADO,exp3
source-segment-ekaw-sigkdd,target-segment-ekaw-sigkdd,fmeasure,0.5714285714285715,RECOMENDADO,exp3
source-segment-edas-ekaw,target-segment-edas-ekaw,fmeasure,0.6666666666666666,RECOMENDADO,exp3
source-segment-cmt-ekaw,target-segment-cmt-ekaw,fmeasure,0.6153846153846153,RECOMENDADO,exp3
source-segment-cmt-confOf,target-segment-cmt-confOf,fmeasure,0.7142857142857143,RECOMENDADO,exp3
source-segment-iasted-sigkdd,target-segment-iasted-sigkdd,fmeasure,0.7142857142857143,RECOMENDADO,exp3
source-segment-cmt-edas,target-segment-cmt-edas,fmeasure,0.6666666666666666,RECOMENDADO,exp3
ekaw,sigkdd,fmeasure,0.27450980392156865,COMA,exp1
confOf,edas,fmeasure,0.3384615384615385,COMA,exp1
cmt,confOf,fmeasure,0.2127659574468085,COMA,exp1
confOf,ekaw,fmeasure,0.3333333333333333,COMA,exp1
cmt,edas,fmeasure,0.3076923076923077,COMA,exp1
cmt,sigkdd,fmeasure,0.5,COMA,exp1
edas,sigkdd,fmeasure,0.18181818181818182,COMA,exp1
edas,ekaw,fmeasure,0.37837837837837845,COMA,exp1
cmt,ekaw,fmeasure,0.19230769230769232,COMA,exp1
confOf,sigkdd,fmeasure,0.2222222222222222,COMA,exp1
ekaw,iasted,fmeasure,0.0,COMA,exp1
edas,iasted,fmeasure,0.0,COMA,exp1
iasted,sigkdd,fmeasure,0.0,COMA,exp1
cmt,iasted,fmeasure,0.0,COMA,exp1
confOf,iasted,fmeasure,0.0,COMA,exp1
ekaw,iasted,fmeasure,0.6363636363636365,AML,exp1
confOf,ekaw,fmeasure,0.8108108108108107,AML,exp1
cmt,sigkdd,fmeasure,0.9565217391304348,AML,exp1
edas,iasted,fmeasure,0.45714285714285713,AML,exp1
cmt,edas,fmeasure,0.8333333333333333,AML,exp1
cmt,ekaw,fmeasure,0.7058823529411764,AML,exp1
edas,sigkdd,fmeasure,0.6153846153846154,AML,exp1
confOf,sigkdd,fmeasure,0.8333333333333333,AML,exp1
confOf,iasted,fmeasure,0.5,AML,exp1
cmt,iasted,fmeasure,0.7272727272727273,AML,exp1
